,count
11.46,1
11.49,1
11.52,4
11.53,1
11.55,2
11.64,7
11.67,2
11.7,59
11.79,1
11.82,1
11.88,1
11.94,2
12.0,2039
12.01,8
12.03,4
12.06,3
12.09,1
12.1,2
12.12,2
12.15,1
12.16,1
12.18,1
12.19,1
12.2,1
12.21,2
12.22,1
12.24,1
