0,count
38.8,1
39.5,1
39.8,2
40.0,1
40.3,1
40.4,2
40.5,1
40.6,1
40.7,1
40.8,1
40.9,2
41.0,1
41.2,1
41.3,1
41.4,1
41.5,2
41.6,3
41.7,6
41.8,1
41.9,3
42.0,2
42.1,12
42.2,6
42.3,4
42.4,4
42.5,2
42.6,1
42.7,1
42.8,2
42.9,2
43.0,2
43.1,6
43.2,14
43.3,12
43.4,5
43.5,5
43.6,2
43.7,2
43.8,3
43.9,3
44.0,8
44.1,7
44.2,10
44.3,8
44.4,9
44.5,4
44.6,3
44.7,4
44.8,4
44.9,2
45.0,7
45.1,10
45.2,8
45.3,5
45.4,3
45.5,7
45.6,1
45.7,9
45.8,11
45.9,8
46.0,3
46.1,3
46.2,4
46.3,4
46.4,6
46.5,4
46.6,7
46.7,5
46.8,5
46.9,4
47.0,5
47.1,8
47.2,5
47.3,15
47.4,14
47.5,15
47.6,9
47.7,12
47.8,10
47.9,13
48.0,44
48.1,39
48.2,26
48.3,8
48.4,11
48.5,3
48.6,29
48.7,22
48.8,13
48.9,7
49.0,6
49.1,11
49.2,8
49.3,16
49.4,2
49.5,5
49.6,5
49.7,4
49.8,8
49.9,19
50.0,11
50.1,11
50.2,8
50.3,24
50.4,10
50.5,10
50.6,6
50.7,10
50.8,10
50.9,36
51.0,20
51.1,20
51.2,4
51.3,7
51.4,6
51.5,5
51.6,26
51.7,9
51.8,7
51.9,5
52.0,10
52.1,10
52.2,7
52.3,8
52.4,5
52.5,9
52.6,3
52.7,7
52.8,28
52.9,5
53.0,10
53.1,5
53.2,12
53.3,7
53.4,12
53.5,3
53.6,9
53.7,16
53.8,12
53.9,13
54.0,8
54.1,10
54.2,14
54.3,9
54.4,6
54.5,19
54.6,11
54.7,15
54.8,11
54.9,11
55.0,5
55.1,15
55.2,10
55.3,7
55.4,6
55.5,6
55.6,6
55.7,15
55.8,6
55.9,12
56.0,16
56.1,12
56.2,11
56.3,13
56.4,3
56.5,9
56.6,6
56.7,7
56.8,9
56.9,6
57.0,9
57.1,12
57.2,9
57.3,10
57.4,6
57.5,8
57.6,11
57.7,12
57.8,7
57.9,2
58.0,11
58.1,9
58.2,31
58.3,10
58.4,7
58.5,10
58.6,6
58.7,12
58.8,16
58.9,21
59.0,6
59.1,12
59.2,5
59.3,8
59.4,3
59.5,5
59.6,9
59.7,2
59.8,8
59.9,9
60.0,12
60.1,20
60.2,9
60.3,12
60.4,10
60.5,10
60.6,10
60.7,11
60.8,19
60.9,6
61.0,13
61.1,14
61.2,10
61.3,12
61.4,11
61.5,9
61.6,24
61.7,11
61.8,14
61.9,21
62.0,13
62.1,5
62.2,12
62.3,8
62.4,9
62.5,7
62.6,9
62.7,6
62.8,5
62.9,10
63.0,10
63.1,8
63.2,9
63.3,12
63.4,12
63.5,4
63.6,6
63.7,8
63.8,11
63.9,13
64.0,3
64.1,4
64.2,23
64.3,4
64.4,5
64.5,6
64.6,6
64.7,9
64.8,17
64.9,14
65.0,6
65.1,9
65.2,22
65.3,6
65.4,14
65.5,37
65.6,10
65.7,6
65.8,4
65.9,6
66.0,11
66.1,8
66.2,12
66.3,10
66.4,4
66.5,7
66.6,7
66.7,11
66.8,10
66.9,5
67.0,11
67.1,11
67.2,7
67.3,11
67.4,7
67.5,15
67.6,12
67.7,15
67.8,8
67.9,10
68.0,7
68.1,10
68.2,6
68.3,9
68.4,7
68.5,4
68.6,2
68.7,6
68.8,4
68.9,7
69.0,9
69.1,9
69.2,4
69.3,4
69.4,4
69.5,5
69.6,4
69.7,6
69.8,5
69.9,2
70.0,1
70.1,5
70.2,7
70.3,1
70.4,9
70.5,6
70.6,7
70.7,8
70.8,8
70.9,7
71.0,7
71.1,7
71.2,4
71.3,5
71.4,7
71.5,1
71.6,4
71.7,2
71.8,4
71.9,1
72.0,5
72.1,5
72.2,6
72.3,10
72.4,4
72.5,5
72.6,6
72.7,8
72.8,3
72.9,7
73.0,2
73.1,7
73.2,2
73.3,9
73.4,3
73.5,9
73.6,10
73.7,12
73.8,7
73.9,5
74.0,1
74.1,3
74.2,4
74.3,3
74.4,2
74.5,3
74.6,4
74.8,6
74.9,2
75.0,4
75.1,2
75.2,5
75.3,3
75.4,5
75.5,2
75.6,5
75.7,2
75.8,3
75.9,2
76.0,3
76.1,7
76.2,2
76.3,6
76.4,1
76.5,7
76.6,6
76.7,6
76.8,1
76.9,1
77.0,4
77.1,1
77.2,1
77.3,1
77.4,7
77.5,1
77.6,1
77.8,5
77.9,2
78.0,2
78.1,2
78.2,2
78.3,2
78.4,4
78.5,4
78.6,2
78.7,1
78.9,2
79.0,2
79.1,7
79.2,3
79.3,7
79.4,5
79.5,2
79.6,1
79.7,1
79.8,5
79.9,1
80.0,1
80.1,2
80.2,1
80.3,2
80.5,1
80.7,4
80.8,4
80.9,4
81.0,2
81.2,1
81.3,2
81.7,2
81.8,2
82.3,1
82.4,1
82.5,7
82.6,3
82.9,1
83.0,2
83.1,1
83.6,1
83.9,1
84.0,1
84.2,1
84.4,1
84.7,1
85.0,1
85.2,1
85.3,1
85.4,2
85.7,1
86.1,1
86.4,1
86.5,1
86.6,2
86.8,2
87.1,1
87.4,1
88.1,2
88.2,1
88.4,2
89.7,2
