action_amount
0.45
0.15
0.15
0.3
0.3
0.36
0.15
0.6
0.6
0.27
0.12
0.15
0.3
6.0
0.67
0.15
1.5
0.15
0.32
0.3
1.5
0.6
0.12
0.19
0.27
0.12
0.22
0.12
60.0
0.11
0.3
0.3
1.8
0.21
0.75
0.15
0.11
0.15
1.2
0.12
0.27
1.88
0.72
1.2
0.3
0.34
0.24
3.0
0.15
0.24
0.6
0.16
0.72
30.0
0.9
0.11
0.6
1.8
1.5
0.6
12.0
0.15
1.8
0.6
0.48
0.12
0.9
0.15
0.27
0.15
3.0
0.3
0.6
0.27
1.12
0.6
0.24
1.5
0.3
0.15
0.15
0.6
1.08
0.6
3.38
0.38
0.12
1.2
0.12
6.0
0.22
0.24
0.45
0.19
0.3
0.12
0.3
0.15
0.81
0.21
0.15
1.2
0.24
0.15
0.14
0.21
24.0
0.15
0.21
0.15
0.3
0.22
1.2
0.9
0.6
0.15
0.6
1.12
0.3
0.36
0.15
0.11
0.19
21.6
0.67
0.9
0.15
0.75
0.15
0.6
0.15
0.3
0.12
0.15
0.19
0.21
1.35
0.15
0.9
3.0
0.15
15.0
0.12
0.15
0.15
0.3
0.3
0.6
0.6
0.18
0.3
0.22
0.72
0.34
0.3
0.3
0.9
0.36
1.5
0.6
0.11
0.54
0.24
0.19
0.12
0.72
1.12
0.18
0.15
0.12
3.6
0.15
0.15
0.12
3.6
0.75
0.3
0.75
0.24
0.15
0.15
0.24
0.11
0.26
1.2
0.3
0.18
1.2
6.0
0.12
0.12
30.0
0.19
0.36
0.6
0.3
0.15
0.3
0.6
0.29
0.6
0.9
0.21
0.19
0.27
0.3
0.21
0.13
1.2
0.22
0.27
0.3
0.6
0.24
0.15
0.15
0.3
1.8
0.3
0.15
0.15
0.36
0.15
0.3
0.3
0.15
0.15
0.18
1.2
0.15
0.3
0.15
12.0
0.12
0.19
1.05
0.15
0.22
0.9
0.38
0.15
0.12
0.15
0.67
0.24
0.67
0.24
0.11
0.15
0.22
0.12
0.72
0.48
0.3
3.0
1.5
0.22
0.34
3.0
0.15
0.12
0.6
0.45
1.88
0.18
0.6
1.2
0.34
21.6
0.72
0.21
0.6
0.9
0.72
0.12
0.15
1.2
0.12
0.18
0.15
3.0
0.9
0.11
0.18
0.36
0.12
0.12
0.15
0.12
0.18
0.9
0.9
0.3
1.8
10.8
0.15
0.12
0.6
0.12
3.0
0.12
0.22
0.15
0.12
0.21
2.1
0.3
0.38
0.11
0.21
0.9
0.3
0.24
0.12
0.21
0.6
0.38
0.3
0.15
0.15
0.6
0.26
0.3
1.2
0.15
6.0
0.11
0.6
1.62
0.15
6.0
0.11
0.38
0.29
0.19
0.15
0.21
0.6
0.19
0.18
1.5
0.54
6.0
0.22
0.3
0.19
0.15
0.36
1.8
0.15
0.15
0.3
0.11
0.75
3.0
0.18
3.0
0.15
0.9
1.2
0.24
1.5
0.12
0.3
0.36
0.27
0.72
0.3
0.6
0.12
0.12
0.3
6.0
1.2
0.15
3.6
0.3
0.34
0.72
0.27
0.22
0.15
0.45
0.19
0.19
0.3
0.27
0.22
3.0
0.15
0.34
0.12
0.15
0.6
0.12
0.3
0.6
0.3
0.11
0.21
0.3
0.15
0.15
0.15
0.15
1.5
1.2
1.2
30.0
0.5
0.21
0.6
0.24
0.3
0.15
0.26
0.3
0.24
0.38
1.2
2.1
0.18
0.22
0.6
0.15
0.75
